title_ru,alt_names,anime_id,status,type,year,age_rating,genres,source,studio,director,dubbing,site_rating,site_votes,site_views,url
Моя история продолжается сегодня,"['Kyou, Watashi no Monogatari ga Hashirimasu. ', ' Моя історія триває сьогодні']",10800,вышел,ONA,2023,G,"['Повседневность ', ' Спорт']",Оригинальная идея,['Studio Colorido'],['Синго Ямасита'],['AniLane'],6.74,19,6,https://old.yummyani.me/catalog/item/moya-istoriya-prodolzhaetsya-segodnya
Детектив Конан: Цель — Когоро! Секретное расследование — OVA 5,"[""Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation "", ' Meitantei Conan OVA 05: Hyouteki wa Kogoro! Shounen Tanteidan Maruchichousa ', ' Meitantei Conan OVA 05: Hyouteki wa Kogorou!! Shounen Tanteidan Maruchichousa ', ' Meitantei Conan OVA 05: Target wa Kogorou!! Shounen Tanteidan Maruhi Report ', ' Meitantei Conan: Hyouteki wa Kogoro! Shounen Tanteidan Maruchichousa ', ' Детектив Конан OVA 05: Цель — Когоро! Секретное расследование ', ' Детектив Конан OVA-5 ', ' 名探偵コナン 標的は小五郎!!少年探偵団マル秘調査']",8258,вышел,OVA,2005,PG-13,"['Сёнэн ', ' Детектив ', ' Комедия ', ' Приключения ', ' Полицейские']",Манга,['TMS Entertainment'],['Сато Масато'],['Persona99'],6.65,23,6,https://old.yummyani.me/catalog/item/detektiv-konan-ova-5
Сердце дракона: Хроника исследования мира духов,"['Dragon Heart: Adventures Beyond This World ', ' Dragon Heart: An Exploration of the Spirit World ', ' Dragon Heart: Reikai Tanbouki ', ' Happy Science Movie 10 ', ' Серце дракона: Хроніка дослідження світу духів ', ' ドラゴン・ハート―霊界探訪記―']",18742,вышел,Полнометражный фильм,2025,G,"['Фэнтези ', ' Драконы ', ' Сверхъестественное']",Оригинальная идея,['HS Pictures Studio'],['Имакакэ Исаму'],['Unknown'],5.6,5,6,https://old.yummyani.me/catalog/item/dragon-heart-reikai-tanbouki
Госпожа Кэйфуку,"['Keifuku-san ', ' Keifukusan ', ' Пані Кейфуку ', ' 傾福さん']",6905,вышел,ONA,2017,G,['Фэнтези'],Оригинальная идея,['Yaoyorozu'],['Тацуки'],"['Panzu.info ', ' ХЗ Лол']",5.28,18,4,https://old.yummyani.me/catalog/item/gospozha-keyfuku
Ветер из Лояна: Таинственный мальчик,"['Feng qi luo yang zhi shen ji shao nian ', ' Feng Qi Luoyang Zhi Shen Ji Shaonian ', ' Feng Qi Luoyang: Shen Ji Shaonian ', ' Luoyang ', ' Вітер з Лояна: Таємничий хлопчик ', ' 风起洛阳之神机少年']",6198,вышел,ONA,2021,PG-13,"['Детектив ', ' Приключения ', ' Фэнтези ', ' Экшен ', ' Исторический']",Оригинальная идея,['Chosen'],['Unknown'],"['AniStar ', ' Автоперевод ', ' ПВА ШОУ']",6.42,19,10,https://old.yummyani.me/catalog/item/veter-iz-loyana-tainstvennyy-malchik
Призрак в доспехах 2: Невинность,"['Ghost in the Shell 2: Innocence ', ' Innocence ', ' Привид у броні 2: Невинність']",2086,вышел,Полнометражный фильм,2004,R-17+,"['Меха ', ' Фантастика ', ' Экшен ', ' Военная тематика ', ' Киберпанк ', ' Полицейские ', ' Психология']",Манга,['Production I.G'],['Мамору Осии'],"['StudioBand ', ' AniDUB ', ' MC Entertainment ', ' Studio Band ', ' Визгунов ', ' Гаврилов ', ' Проф. Двухголосый ', ' Сербин ', ' Двухголосый закадровый ', ' Гланц и Королёва']",8.12,377,48,https://old.yummyani.me/catalog/item/prizrak-v-dospehah-2
Капета,"['Capeta ', ' Kapeta ', ' Капэта ', ' カペタ']",9250,вышел,Сериал,2005,PG,"['Сёнэн ', ' Спорт']",Манга,['Studio Comet'],['Мисава Син'],['SHIZA Project'],8.0,31,16,https://old.yummyani.me/catalog/item/kapeta
Тень,"['Hyper Shinobi Animation: Shadow ', ' Kage (OVA) ', ' Shadow ', ' Тінь ', ' 影Shadow']",8108,вышел,OVA,2004,R+,"['Экшен ', ' Боевые искусства ', ' Исторический ', ' Эротика']",Оригинальная идея,['APPP'],['Unknown'],['AniFilm'],5.91,34,22,https://old.yummyani.me/catalog/item/ten
Киллтуб,"['KillTube ', ' KILLTUBE (キルチューブ)']",15497,анонс,Полнометражный фильм,2026,Неизвестно,"['Фэнтези ', ' Экшен']",Оригинальная идея,['Studio Dotou'],['Курибаяси Кадзуаки'],['Unknown'],0.0,0,12,https://old.yummyani.me/catalog/item/killtube
Жгучий взор Шаны 3 — Спешлы,"['Shakugan no Shana-tan III (Final): Final Destruction ', ' Shakugan no Shana-tan: Final Destruction ', ' Палаючий погляд Шани 3 — Спешли ', ' Пламенный взор Шаны III: Спецвыпуски']",11265,вышел,Спешл,2012,PG-13,"['Сэйнэн ', ' Комедия ', ' Пародия']",Ранобэ,['J.C.Staff'],['Ватанабэ Такаси'],"['Indie Dub ', ' Marie Bibika ', ' Mutsuko Air ', ' Max Shaft']",5.89,36,8,https://old.yummyani.me/catalog/item/zhguchiy-vzor-shani-ova-speshli
