anime_id,title_ru,alt_names,status,type,year,age_rating,genres,source,studio,director,dubbing,site_rating,site_votes,site_views,url,rating_tier,popularity_score,engagement_rate,is_multi_genre,primary_genre,decade,era,title_age,is_recent,is_completed,is_ongoing,is_movie,type_simplified,age_rating_ordinal,is_family_friendly,is_adaptation,is_original_work,has_dubbing,has_unknown_dubbing,dubbing_count,primary_dubbing,studio_count,primary_studio,studio_tier,studio_frequency,is_prolific_studio,primary_director,director_frequency,is_prolific_director,hidden_gem,log_votes,log_views,composite_score,alt_names_count,title_ru_length,slug,genre_count,genre_комедия,genre_экшен,genre_фэнтези,genre_приключения,genre_драма,genre_сёнэн,genre_фантастика,genre_романтика,genre_школьная_жизнь,genre_сэйнэн,genre_повседневность,genre_сверхъестественное,genre_не_японское,genre_исторический,genre_детектив,genre_меха,genre_этти,genre_боевые_искусства,genre_суперспособности,genre_военная_тематика,genre_сёдзё,genre_китайское_3d,genre_спорт,genre_музыка,genre_гарем,genre_демоны,genre_пародия,genre_исэкай,genre_космос,genre_ужасы,genre_психология,genre_триллер,genre_магия,genre_игры,genre_полицейские,genre_мистика,genre_самураи,genre_вампиры,genre_махо_сёдзё,genre_дзёсэй,genre_бисёнэн,genre_сёнэн_ай,genre_полулюди,genre_киберпанк,genre_сёдзё_ай,genre_безумие,genre_путешествия_во_времени,genre_гарем__для_девочек,genre_гендерная_интрига,genre_любовный_треугольник,genre_кулинария,genre_сражения_на_мечах,genre_божества,genre_драконы,genre_целый_фэнтези_мир,genre_эльфы,genre_ангелы,genre_эротика,genre_постапокалиптика,genre_преступный_мир,genre_русские_в_аниме,genre_война,genre_альтернативная_история,genre_перестрелки,genre_хулиганы,genre_современное_фэнтези,genre_unknown,genre_пилотируемые_роботы,genre_инопланетные_расы,genre_параллельный_мир,genre_темное_фэнтези,genre_ведьмы,genre_тайный_заговор,genre_андроиды,genre_нелинейный_сюжет,genre_зомби,genre_альтернативная_реальность,genre_антиутопия,genre_мафия_якудза,genre_машины,genre_ниндзя,genre_убийцы,genre_искусство,genre_феи,genre_лоликон,genre_пираты,genre_виртуальная_реальность,genre_манга,genre_политика,genre_русалки,genre_баскетбол,genre_призраки,genre_прокси_бои,genre_террористы,genre_мотоциклы,genre_стимпанк,genre_трансформеры,genre_искусственный_интеллект,genre_суккубы,genre_охотники_за_головами,genre_вестерн,genre_киборги,genre_силовые_костюмы,genre_темные_эльфы,genre_антивойна,genre_воры
10800,Моя история продолжается сегодня,"['Kyou, Watashi no Monogatari ga Hashirimasu. ', ' Моя історія триває сьогодні']",вышел,ONA,2023,G,"['Повседневность ', ' Спорт']",Оригинальная идея,['Studio Colorido'],['Синго Ямасита'],['AniLane'],6.74,19,6,https://old.yummyani.me/catalog/item/moya-istoriya-prodolzhaetsya-segodnya,B,9.75,3.16667,0,Повседневность,2020s,Recent,3,1,1,0,0,ONA,0.0,1,0,1,1,0,1,AniLane,1,Studio Colorido,Top,20,1,Синго Ямасита,1,0,0,2.995732273553991,1.9459101490553132,0.4263,2,32,moya-istoriya-prodolzhaetsya-segodnya,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8258,Детектив Конан: Цель — Когоро! Секретное расследование — OVA 5,"[""Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation "", ' Meitantei Conan OVA 05: Hyouteki wa Kogoro! Shounen Tanteidan Maruchichousa ', ' Meitantei Conan OVA 05: Hyouteki wa Kogorou!! Shounen Tanteidan Maruchichousa ', ' Meitantei Conan OVA 05: Target wa Kogorou!! Shounen Tanteidan Maruhi Report ', ' Meitantei Conan: Hyouteki wa Kogoro! Shounen Tanteidan Maruchichousa ', ' Детектив Конан OVA 05: Цель — Когоро! Секретное расследование ', ' Детектив Конан OVA-5 ', ' 名探偵コナン 標的は小五郎!!少年探偵団マル秘調査']",вышел,OVA,2005,PG-13,"['Сёнэн ', ' Детектив ', ' Комедия ', ' Приключения ', ' Полицейские']",Манга,['TMS Entertainment'],['Сато Масато'],['Persona99'],6.65,23,6,https://old.yummyani.me/catalog/item/detektiv-konan-ova-5,B,10.35,3.83333,1,Сёнэн,2000s,Modern,21,0,1,0,0,OVA,2.0,0,1,0,1,0,1,Persona99,1,TMS Entertainment,Top,231,1,Сато Масато,5,1,0,3.1780538303479458,1.9459101490553132,0.4207,8,62,detektiv-konan-ova-5,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18742,Сердце дракона: Хроника исследования мира духов,"['Dragon Heart: Adventures Beyond This World ', ' Dragon Heart: An Exploration of the Spirit World ', ' Dragon Heart: Reikai Tanbouki ', ' Happy Science Movie 10 ', ' Серце дракона: Хроніка дослідження світу духів ', ' ドラゴン・ハート―霊界探訪記―']",вышел,Полнометражный фильм,2025,G,"['Фэнтези ', ' Драконы ', ' Сверхъестественное']",Оригинальная идея,['HS Pictures Studio'],['Имакакэ Исаму'],['Unknown'],5.6,5,6,https://old.yummyani.me/catalog/item/dragon-heart-reikai-tanbouki,C,5.83,0.83333,1,Фэнтези,2020s,Recent,1,1,1,0,1,Movie,0.0,1,0,1,0,1,1,Unknown,1,HS Pictures Studio,Mid,3,1,Имакакэ Исаму,4,1,0,1.791759469228055,1.9459101490553132,0.3546,6,47,dragon-heart-reikai-tanbouki,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6905,Госпожа Кэйфуку,"['Keifuku-san ', ' Keifukusan ', ' Пані Кейфуку ', ' 傾福さん']",вышел,ONA,2017,G,['Фэнтези'],Оригинальная идея,['Yaoyorozu'],['Тацуки'],"['Panzu.info ', ' ХЗ Лол']",5.28,18,4,https://old.yummyani.me/catalog/item/gospozha-keyfuku,C,7.93,4.5,0,Фэнтези,2010s,Contemporary,9,0,1,0,0,ONA,0.0,1,0,1,1,0,2,Panzu.info,1,Yaoyorozu,Indie,7,1,Тацуки,6,1,0,2.9444389791664403,1.6094379124341003,0.3337,4,15,gospozha-keyfuku,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6198,Ветер из Лояна: Таинственный мальчик,"['Feng qi luo yang zhi shen ji shao nian ', ' Feng Qi Luoyang Zhi Shen Ji Shaonian ', ' Feng Qi Luoyang: Shen Ji Shaonian ', ' Luoyang ', ' Вітер з Лояна: Таємничий хлопчик ', ' 风起洛阳之神机少年']",вышел,ONA,2021,PG-13,"['Детектив ', ' Приключения ', ' Фэнтези ', ' Экшен ', ' Исторический']",Оригинальная идея,['Chosen'],['Unknown'],"['AniStar ', ' Автоперевод ', ' ПВА ШОУ']",6.42,19,10,https://old.yummyani.me/catalog/item/veter-iz-loyana-tainstvennyy-malchik,C,12.02,1.9,1,Детектив,2020s,Recent,5,0,1,0,0,ONA,2.0,0,0,1,1,0,3,AniStar,1,Chosen,Indie,8,1,Unknown,1640,1,0,2.995732273553991,2.3978952727983707,0.4078,6,36,veter-iz-loyana-tainstvennyy-malchik,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,Призрак в доспехах 2: Невинность,"['Ghost in the Shell 2: Innocence ', ' Innocence ', ' Привид у броні 2: Невинність']",вышел,Полнометражный фильм,2004,R-17+,"['Меха ', ' Фантастика ', ' Экшен ', ' Военная тематика ', ' Киберпанк ', ' Полицейские ', ' Психология']",Манга,['Production I.G'],['Мамору Осии'],"['StudioBand ', ' AniDUB ', ' MC Entertainment ', ' Studio Band ', ' Визгунов ', ' Гаврилов ', ' Проф. Двухголосый ', ' Сербин ', ' Двухголосый закадровый ', ' Гланц и Королёва']",8.12,377,48,https://old.yummyani.me/catalog/item/prizrak-v-dospehah-2,A,38.65,7.85417,1,Меха,2000s,Modern,22,0,1,0,1,Movie,,0,1,0,1,0,10,StudioBand,1,Production I.G,Top,241,1,Мамору Осии,2,1,0,5.934894195619588,3.8918202981106265,0.53,3,32,prizrak-v-dospehah-2,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9250,Капета,"['Capeta ', ' Kapeta ', ' Капэта ', ' カペタ']",вышел,Сериал,2005,PG,"['Сёнэн ', ' Спорт']",Манга,['Studio Comet'],['Мисава Син'],['SHIZA Project'],8.0,31,16,https://old.yummyani.me/catalog/item/kapeta,A,16.43,1.9375,0,Сёнэн,2000s,Modern,21,0,1,0,0,TV,1.0,1,1,0,1,0,1,SHIZA Project,1,Studio Comet,Indie,36,1,Мисава Син,6,1,0,3.4657359027997265,2.833213344056216,0.5096,4,6,kapeta,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8108,Тень,"['Hyper Shinobi Animation: Shadow ', ' Kage (OVA) ', ' Shadow ', ' Тінь ', ' 影Shadow']",вышел,OVA,2004,R+,"['Экшен ', ' Боевые искусства ', ' Исторический ', ' Эротика']",Оригинальная идея,['APPP'],['Unknown'],['AniFilm'],5.91,34,22,https://old.yummyani.me/catalog/item/ten,C,18.65,1.54545,1,Экшен,2000s,Modern,22,0,1,0,0,OVA,4.0,0,0,1,1,0,1,AniFilm,1,APPP,Indie,16,1,Unknown,1640,1,0,3.5553480614894135,3.1354942159291497,0.3806,5,4,ten,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15497,Киллтуб,"['KillTube ', ' KILLTUBE (キルチューブ)']",анонс,Полнометражный фильм,2026,Неизвестно,"['Фэнтези ', ' Экшен']",Оригинальная идея,['Studio Dotou'],['Курибаяси Кадзуаки'],['Unknown'],0.0,0,12,https://old.yummyani.me/catalog/item/killtube,Unrated,0.0,0.0,0,Фэнтези,2020s,Recent,0,1,0,0,1,Movie,,0,0,1,0,1,1,Unknown,1,Studio Dotou,Indie,1,0,Курибаяси Кадзуаки,1,0,0,0.0,2.5649493574615367,0.0048,2,7,killtube,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11265,Жгучий взор Шаны 3 — Спешлы,"['Shakugan no Shana-tan III (Final): Final Destruction ', ' Shakugan no Shana-tan: Final Destruction ', ' Палаючий погляд Шани 3 — Спешли ', ' Пламенный взор Шаны III: Спецвыпуски']",вышел,Спешл,2012,PG-13,"['Сэйнэн ', ' Комедия ', ' Пародия']",Ранобэ,['J.C.Staff'],['Ватанабэ Такаси'],"['Indie Dub ', ' Marie Bibika ', ' Mutsuko Air ', ' Max Shaft']",5.89,36,8,https://old.yummyani.me/catalog/item/zhguchiy-vzor-shani-ova-speshli,C,13.28,4.5,1,Сэйнэн,2010s,Contemporary,14,0,1,0,0,Other,2.0,0,1,0,1,0,4,Indie Dub,1,J.C.Staff,Top,350,1,Ватанабэ Такаси,42,1,0,3.6109179126442243,2.1972245773362196,0.3737,4,27,zhguchiy-vzor-shani-ova-speshli,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
