title_ru,alt_names,anime_id,status,type,year,age_rating,genres,source,studio,director,dubbing,site_rating,site_votes,site_views,shikimori_rating,shikimori_url,worldart_rating,worldart_url,kinopoisk_rating,kinopoisk_url,mal_rating,mal_url,comments_count,reviews_count,url
Очкарик-янки,"Glasses with a Chance of Delinquent | Megane, Tokidoki, Yankee-kun | Очкарик-янкі | メガネ、時々、ヤンキーくん",27989,анонс,Сериал,N/A,Неизвестно,Сёдзё | Комедия | Романтика | Школьная жизнь,Манга,,,,0.00,0,1 930 просмотров,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/ochkarik-yanki
Сирануи,Shiranuhi | Shiranui | Сирануї | しらぬひ,27894,анонс,Полнометражный фильм,Лето 2026,PG-13,Драма | Сверхъестественное,Оригинальная идея,CoMix Wave Films,Катаносака Рё,,0.00,0,994 просмотра,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/shiranuhi
Импульс мира (reboot),World Trigger (Unknown) | Імпульс світу (reboot),28053,анонс,Неизвестно,N/A,Неизвестно,Сёнэн | Фантастика | Экшен,Манга,Toei Animation,Хатано Морио,,0.00,0,444 просмотра,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/impuls-mira-reboot
Извивающийся дракон,"Coiling Dragon | Panlong | Дракон, що звивається | 盘龙",27850,анонс,ONA,Весна 2026,PG-13,Приключения | Фэнтези | Экшен | Не японское | Китайское 3D,Визуальная новелла,CG Year,,,0.00,0,2 966 просмотров,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/izvivayuschiysya-drakon
За пределом божественного царства 2,Above the Kingdom of God 2nd Season | Over the Divine Realms 2nd Season | Shenguo Zhi Shang 2nd Season | За межами божественного царства 2 | 神国之上 第2季,27931,анонс,ONA,2026,Неизвестно,Приключения | Фэнтези | Экшен | Боевые искусства | Исторический | Не японское | Китайское 3D,Новелла,CG Year,,,0.00,0,1 133 просмотра,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/shenguo-zhi-shang-2nd-season
Сиротан,Sirotan | しろたん,27877,анонс,Сериал,Осень 2026,Неизвестно,Комедия,Неизвестно,Lesprit,,,0.00,0,667 просмотров,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/sirotan
Я не бог театра,I Am Not the God of Drama | I’m Not The Drama God | I’m Not the God of Drama | Wo Bushi Xi Shen | Я не бог драмы | 我不是戏神,27923,анонс,ONA,2027,Неизвестно,Мистика | Приключения | Фэнтези | Экшен | Постапокалиптика | Психология | Не японское | Китайское 3D,Новелла,Sparkly Key Animation Studio,,,0.00,0,708 просмотров,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/ya-ne-bog-dramy
Затерянный город странных зверей,"Beastly Maze | Bewildering City of the Unusual Beasts | Mystical Beast City | The City of Beasts | The Creatures That We Are | The Lost City of Alien Beasts | Yi Shou Mi Cheng | Yishou Micheng | Загублене місто дивних звірів | Заточенный в городе зверей | Существа, которыми мы являемся | 异兽迷城",27929,анонс,ONA,N/A,Неизвестно,Фэнтези | Экшен | Психология | Не японское | Китайское 3D,Новелла,Shenman Entertainment,,,0.00,0,1 373 просмотра,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/yi-shou-mi-cheng
Тануки и лис,Tanuki to Kitsune (TV) | Тануки та лис | タヌキとキツネ,28037,анонс,Сериал,2026,G,Комедия,Манга,,,,0.00,0,370 просмотров,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/tanuki-i-lis
"Перо, наручники и гражданский брак","A Pen, Handcuffs, and a Common-Law Marriage | Pen to Tejou to Jijitsukon | Pen to Wappa to Jijitsukon | Перо, наручники та громадянський шлюб | ペンと手錠と事実婚",27856,анонс,Сериал,N/A,Неизвестно,Сэйнэн | Детектив | Комедия,Манга,,,,0.00,0,2 110 просмотров,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/pero-naruchniki-i-grazhdanskiy-brak
Сюнмао Ли,Li Xiongmao | Сюнмао Лі | 李熊猫,27930,анонс,ONA,2026,Неизвестно,Приключения | Фэнтези | Экшен | Не японское,Новелла,Garden Culture,,,0.00,0,1 026 просмотров,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/li-xiongmao
The Ribbon Hero,THE RIBBON HERO リボンヒーロー,27995,анонс,ONA,Лето 2026,Неизвестно,Сёдзё | Драма | Приключения | Романтика | Фэнтези | Экшен | Гендерная интрига,Оригинальная идея,Outline,Игараси Юки,,0.00,0,1 642 просмотра,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/the-ribbon-hero
Расцвет молодости: Наша весна,Cheongchun Blossom: Uliui Bom | Seasons of Blossom | Розквіт молодості: Наша весна | 청춘 블라썸: 우리의 봄,27912,онгоинг,Сериал,Весна 2026,PG-13,Романтика | Не японское,Манхва,,Син Чхан Хван,AnimeVost | Манипулятор,6.44,9,3 251 просмотр,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://old.yummyani.me/catalog/item/rascvet-molodosti-nasha-vesna
